window_id,block_start,block_end,mev_intensity,mev_regime,modularity,spectral_gap,eff_connectivity,avg_path_length,giant_component_pct,avg_eff_resistance,volatility,gas_price_gwei,volume_usd_m,active_pools,nodes,edges,avg_slippage_pct,avg_route_hops,failed_routes_pct,median_exec_cost_usd,hhi_builders,data_source
0,21700000,21710000,0.2763723072992012,medium,0.21376352278682803,0.17831572441284985,1.0,2.404570201671651,1.0,0.0,0.03138342258989035,4.6976909522,387.43097107325036,203,162,180,0.4816989943688038,2.5465593129361244,0.0,25.895013098397655,0.2696904353123134,real
1,21710000,21720000,0.6043833660281368,high,0.21962275035136836,0.16046495095966934,1.0,2.404570201671651,1.0,0.0,0.03236237045584633,9.8690197826,387.43097107325036,203,162,180,0.4866793377986631,2.5465593129361244,0.0,26.126557813354697,0.36055382322403984,real
2,21720000,21730000,0.6150924817999619,high,0.2366829770503266,0.1637049714238191,1.0,2.404570201671651,1.0,0.0,0.03224874131136464,3.9007199408000006,387.43097107325036,203,162,180,0.5011805304927776,2.5465593129361244,0.0,26.80074315341883,0.41855052859417846,real
3,21730000,21740000,0.5297272410750778,high,0.22150872957302198,0.1600522761326549,1.0,2.404570201671651,1.0,0.0,0.03224298480859938,5.1124116294,387.43097107325036,203,162,180,0.4882824201370687,2.5465593129361244,0.0,26.20108786300416,0.39010783792176756,real
4,21740000,21750000,0.4713624941322898,high,0.22543877585863573,0.17185141296607248,1.0,2.3991459627329195,1.0,0.0,0.035024392240643486,1.6803469016,387.43097107325036,202,161,179,0.49162295947984036,2.5435217391304348,0.0,26.35639527118157,0.2800139419933008,real
5,21750000,21760000,0.4337695773092651,high,0.21655660692394144,0.17974182551296053,1.0,2.3991459627329195,1.0,0.0,0.039393604860289484,3.8823967586,387.43097107325036,202,161,179,0.4840731158853502,2.5435217391304348,0.0,26.005390082949834,0.2844424457178365,real
6,21760000,21770000,0.48034101200460727,high,0.22080457620501887,0.15434900278538438,1.0,2.3991459627329195,1.0,0.0,0.041406293671498576,12.010626100400001,387.43097107325036,202,161,179,0.487683889774266,2.5435217391304348,0.0,26.173261159042866,0.3459716168968615,real
7,21770000,21780000,0.6088104293263366,high,0.23543175725699347,0.14039511957354528,1.0,2.3972088030059044,1.0,0.0,0.04337775110770145,2.1580943259999996,387.43097107325036,203,162,180,0.5001169936684444,2.5424369296833063,0.0,26.751297500864005,0.3840368939602272,real
8,21780000,21790000,0.5858155011780696,high,0.23569556382219897,0.13572834039014706,1.0,2.4039990911156557,1.0,0.0,0.04321494481321784,2.6024902232000002,387.43097107325036,204,163,181,0.5003412292488691,2.546239491024767,0.0,26.76172259790478,0.3838221657460992,real
9,21790000,21800000,0.5930538755417678,high,0.228119973807963,0.1425248840289394,1.0,2.415816703621582,1.0,0.0,0.03727752303463145,0.9615707071999999,387.43097107325036,206,165,183,0.4939019777367685,2.5528573540280854,0.0,26.46235074194661,0.3616302323894997,real
10,21800000,21810000,0.5871325676297642,high,0.23329830086432485,0.14287970159745209,1.0,2.415816703621582,1.0,0.0,0.0368334853765695,0.8998166831999999,387.43097107325036,206,165,183,0.4983035557346761,2.5528573540280854,0.0,26.666987658504695,0.41123496629779055,real
11,21810000,21820000,0.5606966912652933,high,0.22988791308952955,0.14318528532823985,1.0,2.415816703621582,1.0,0.0,0.037535270175103636,0.8827737034,387.43097107325036,206,165,183,0.4954047261261001,2.5528573540280854,0.0,26.532216094077512,0.3976124345689858,real
12,21820000,21830000,0.5257185665350511,high,0.21808398031741963,0.1416932496268421,1.0,2.415816703621582,1.0,0.0,0.037595911791319825,1.0476011896,387.43097107325036,206,165,183,0.48537138326980667,2.5528573540280854,0.0,26.065748762166557,0.36226834754085696,real
13,21830000,21840000,0.5267046695532318,high,0.22670903866776665,0.14373083648779783,1.0,2.415816703621582,1.0,0.0,0.03647878051002668,1.7720461010000002,387.43097107325036,206,165,183,0.49270268286760166,2.5528573540280854,0.0,26.40659346485488,0.3944991040303337,real
14,21840000,21850000,0.5660626401118413,high,0.212439501682782,0.14261810362250021,1.0,2.4400836880455956,1.0,0.0,0.030283838726050855,0.8043439232,387.43097107325036,208,167,185,0.4805735764303647,2.5664468653055335,0.0,25.84269048662733,0.3904503363122979,real
15,21850000,21860000,0.5666253805583172,high,0.2119629096646511,0.14313173599587664,1.0,2.4400836880455956,1.0,0.0,0.028989005097311917,0.7289332202,387.43097107325036,208,167,185,0.4801684732149534,2.5664468653055335,0.0,25.823856542771527,0.35087137833682974,real
16,21860000,21870000,0.5493859830551721,high,0.2094118853404012,0.1428457177602431,1.0,2.4400836880455956,1.0,0.0,0.02786735523157988,3.1408755068,387.43097107325036,208,167,185,0.478000102539341,2.5664468653055335,0.0,25.723045267991616,0.38081691674454377,real
17,21870000,21880000,0.42035485181322113,high,0.21173562614409916,0.14271737828216857,1.0,2.4400836880455956,1.0,0.0,0.028528908499322703,1.0506341488,387.43097107325036,208,167,185,0.47997528222248426,2.5664468653055335,0.0,25.814874761913735,0.2893754627004185,real
18,21880000,21890000,0.43006807465817243,high,0.21273828211702947,0.14265319290530895,1.0,2.4400836880455956,1.0,0.0,0.03516501544309,0.9287033186,387.43097107325036,208,167,185,0.480827539799475,2.5664468653055335,0.0,25.854497679592704,0.34838073890248716,real
19,21890000,21900000,0.37912998825607297,medium,0.20754890467137566,0.13938162130446494,1.0,2.4380524664955803,1.0,0.0,0.03650956184070224,0.7737777614,387.43097107325036,209,168,186,0.4764165689706693,2.5653093812375247,0.0,25.64942407420311,0.3001542179728416,real
20,21900000,21910000,0.37346343317183506,medium,0.20737536578935578,0.14002892125045918,1.0,2.4380524664955803,1.0,0.0,0.03570120815865851,0.7127478596,387.43097107325036,209,168,186,0.4762690609209524,2.5653093812375247,0.0,25.642566171769957,0.2938395023623762,real
21,21910000,21920000,0.39129429842942826,medium,0.2043585888381821,0.14170738278881628,1.0,2.4380524664955803,1.0,0.0,0.03622501379789487,0.9551044880000001,387.43097107325036,209,168,186,0.4737048005124548,2.5653093812375247,0.0,25.523349303752088,0.2860898330396531,real
22,21920000,21930000,0.46029595606266194,high,0.202287695670833,0.13949350006593592,1.0,2.4380524664955803,1.0,0.0,0.03622963560822098,2.7974766329999996,387.43097107325036,209,168,186,0.471944541320208,2.5653093812375247,0.0,25.441511832368953,0.37079462258528567,real
23,21930000,21940000,0.45473693913460644,high,0.20801778125419157,0.13443460740803148,1.0,2.4380524664955803,1.0,0.0,0.036434445066802566,1.3961947192,387.43097107325036,209,168,186,0.4768151140660628,2.5653093812375247,0.0,25.667953119802082,0.32725889119177853,real
24,21940000,21950000,0.444205237010296,high,0.194870452724689,0.1295617094622964,1.0,2.4437869822485205,1.0,0.0,0.03610900003135024,1.1445140851999998,387.43097107325036,211,169,188,0.4656398848159856,2.5685207100591714,0.0,25.148397529363248,0.3148322601392252,real
25,21950000,21960000,0.4410356211156155,high,0.18378395182924304,0.12894091234505387,1.0,2.4437869822485205,1.0,0.0,0.037354443226591594,0.7277795518,387.43097107325036,211,169,188,0.4562163590548566,2.5685207100591714,0.0,24.71028164097509,0.31585024193159933,real
26,21960000,21970000,0.47392211066106127,high,0.18950756474391275,0.12814818083916454,1.0,2.4437869822485205,1.0,0.0,0.03636947904326571,1.7506807070000001,387.43097107325036,211,169,188,0.4610814300323258,2.5685207100591714,0.0,24.936467141752033,0.35553811983102496,real
27,21970000,21980000,0.5865237994326136,high,0.178097485142374,0.12776227335558374,1.0,2.4485207100591717,1.0,0.0,0.027856158345807455,0.924112109,387.43097107325036,212,170,189,0.4513828623710179,2.571171597633136,0.0,24.485564083307214,0.39557284170396784,real
28,21980000,21990000,3.0941584352764666,high,0.1805012959338391,0.12796457576319442,1.0,2.4485207100591717,1.0,0.0,0.02775792777723468,0.8983504364,387.43097107325036,212,170,189,0.4534261015437632,2.571171597633136,0.0,24.58055777972701,0.9,real
29,21990000,22000000,3.1042540548604545,high,0.1966376778671088,0.12768312751073407,1.0,2.4485207100591717,1.0,0.0,0.025454474565187374,0.7454974366000001,387.43097107325036,212,170,189,0.4671420261870425,2.571171597633136,0.0,25.218234660172595,0.9,real
30,22000000,22010000,3.105786025982873,high,0.21072722290495965,0.1297736940677548,1.0,2.445407636738906,1.0,0.0,0.024142961066542932,0.6837297638,387.43097107325036,213,171,190,0.47911813946921566,2.5694282765737873,0.0,25.775024724004066,0.9,real
31,22010000,22020000,3.0860853298408264,high,0.21582313660848054,0.12693591705230806,1.0,2.451943584451324,1.0,0.0,0.022996635543298564,6.509465136599999,387.43097107325036,212,171,190,0.4834496661172084,2.573088407292741,0.0,25.976404833059448,0.9,real
32,22020000,22030000,3.0377418559034437,high,0.20231900081756077,0.12875612875086315,1.0,2.451943584451324,1.0,0.0,0.026632767807591825,0.9058193658,387.43097107325036,212,171,190,0.4719711506949267,2.573088407292741,0.0,25.44274894787538,0.9,real
33,22030000,22040000,3.0517125718515854,high,0.2012102415458211,0.12777162696765415,1.0,2.4575683394532843,1.0,0.0,0.026914416722287,0.7944581339999999,387.43097107325036,214,172,191,0.4710287053139479,2.576238270093839,0.0,25.39893304437905,0.9,real
34,22040000,22050000,3.017890494213119,high,0.19955423311515358,0.12875046512303695,1.0,2.4575683394532843,1.0,0.0,0.042387036662135814,0.5189807780000001,387.43097107325036,214,172,191,0.46962109814788056,2.576238270093839,0.0,25.33349097103035,0.9,real
35,22050000,22060000,3.089832685942241,high,0.047901092883159205,0.13073595408825006,0.9818548387096774,2.461431134143911,0.9886363636363636,0.0,0.04233089091961457,0.5146449064,387.43097107325036,217,176,194,0.3434377031442337,2.5784014351205897,0.0,19.467008339880458,0.9,real
36,22060000,22070000,3.0189522489466762,high,0.18867612119153093,0.1308031530192595,0.9818548387096774,2.461431134143911,0.9886363636363636,0.0,0.04142666813057181,0.8292741502000001,387.43097107325036,216,176,194,0.46309647720634967,2.5784014351205897,0.0,25.03015014375889,0.9,real
37,22070000,22080000,2.92261225403134,high,0.1857996378518369,0.13312701504169008,0.9818548387096774,2.461431134143911,0.9886363636363636,0.0,0.04172923111755176,0.45049061479999997,387.43097107325036,216,176,194,0.46065146636760973,2.5784014351205897,0.0,24.91647739293437,0.9,real
38,22080000,22090000,0.41544043590060803,high,0.18346387287085397,0.13393799629271994,0.9818548387096774,2.461431134143911,0.9886363636363636,0.0,0.05646664798097891,0.6705904203999999,387.43097107325036,216,176,194,0.4586660661337743,2.5784014351205897,0.0,24.824172728066703,0.29144173788950606,real
39,22090000,22100000,0.4090920488128577,high,0.18500951209649047,0.12926797614619315,0.9818548387096774,2.461431134143911,0.9886363636363636,0.0,0.07061038681178324,0.4367371012,387.43097107325036,216,176,194,0.4599798594755653,2.5784014351205897,0.0,24.885253235690662,0.33315460315988416,real
40,22100000,22110000,0.40758990388614025,high,0.20532114376609115,0.018941600653063686,0.9798387096774194,2.481038961038961,0.9887640449438202,0.0,0.07140527205985975,0.4144691932,387.43097107325036,219,178,196,0.4775471657495646,2.589381818181818,0.0,25.701987459155866,0.3353335866905594,real
41,22110000,22120000,0.3538704287071746,medium,0.21143228484258478,0.018940757073220824,0.9798387096774194,2.481038961038961,0.9887640449438202,0.0,0.07130009509724228,0.6871860317999999,387.43097107325036,219,178,196,0.48274163566458417,2.589381818181818,0.0,25.94348728196229,0.30784279953202565,real
42,22120000,22130000,0.3529540114113237,medium,0.2215565403250672,0.019061766382239307,0.9516129032258065,2.4849768875192604,0.9888268156424581,0.0,0.07005056390351515,0.4746697314,387.43097107325036,220,179,197,0.49558112379243613,2.591587057010786,0.0,26.540417124377147,0.27121631334586865,real
43,22130000,22140000,0.3426377768756778,medium,0.2135652890056429,0.018460077575952912,0.9657258064516129,2.4849768875192604,0.9888268156424581,0.0,0.06721407198944923,0.8803917012,387.43097107325036,221,179,197,0.4866716246870545,2.591587057010786,0.0,26.126199217556238,0.2940199504422727,real
44,22140000,22150000,0.3451037712500059,medium,0.21629546458140075,0.01922829393299513,0.9516129032258065,2.4849768875192604,0.9888268156424581,0.0,0.06937892791842015,0.4969130986,387.43097107325036,221,179,197,0.49110920941031966,2.591587057010786,0.0,26.33251014858277,0.2915420827742242,real
45,22150000,22160000,0.3206390815581769,medium,0.20203972544855503,0.019079754874438044,0.9657258064516129,2.4849768875192604,0.9888268156424581,0.0,0.06952346054763044,0.5528739793999999,387.43097107325036,221,179,197,0.4768748956635298,2.591587057010786,0.0,25.670732468885156,0.2848162905251411,real
46,22160000,22170000,0.32758929296220785,medium,0.19657768931965164,0.019370459084609687,0.9516129032258065,2.4849768875192604,0.9888268156424581,0.0,0.06941747781643869,0.696277067,387.43097107325036,221,179,197,0.4743491004378329,2.591587057010786,0.0,25.553303913242285,0.3071785805233288,real
